Month,story_id,Event count
Apr-2026,40218409,941284
Apr-2026,40191298,560005
Apr-2026,40209701,431262
Apr-2026,40210995,409766
Apr-2026,40204005,360750
Apr-2026,40206690,340212
Apr-2026,40213429,287310
Apr-2026,40194503,276607
Apr-2026,40200502,264754
Apr-2026,40207149,248411
Apr-2026,40189236,242725
Apr-2026,40216320,228462
Apr-2026,40215278,222593
Apr-2026,40210075,211555
Apr-2026,40194675,207608
Apr-2026,40209211,203721
Apr-2026,40194454,201047
Apr-2026,40202391,200700
Apr-2026,40197992,197471
Apr-2026,40195084,196458
Apr-2026,40207845,192807
Apr-2026,40192305,190397
Apr-2026,40216342,183942
Apr-2026,40209922,180332
Apr-2026,40220557,180288
Apr-2026,40212984,177617
Apr-2026,40208709,177539
Apr-2026,40216084,173893
Apr-2026,40205509,173240
Apr-2026,40212289,170800
Apr-2026,40205296,169592
Apr-2026,40210554,169209
Apr-2026,40216403,164511
Apr-2026,40212022,159101
Apr-2026,40207548,158180
Apr-2026,40209590,155377
Apr-2026,40198599,155061
Apr-2026,40193191,152238
Apr-2026,40197034,151779
Apr-2026,30000459,151727
Apr-2026,40199121,148743
Apr-2026,40206373,145378
Apr-2026,40201433,143786
Apr-2026,40208715,141433
Apr-2026,40216784,141344
Apr-2026,40214080,141199
Apr-2026,40220181,140155
Apr-2026,40189158,139689
Apr-2026,40218920,139681
Apr-2026,40205401,136240
Apr-2026,40211170,136235
Apr-2026,40217359,132850
Apr-2026,40213725,130370
Apr-2026,40203205,128722
Apr-2026,40191751,128202
Apr-2026,40194489,126841
Apr-2026,40212790,126344
Apr-2026,40215267,125717
Apr-2026,40215501,125524
Apr-2026,40216783,125473
Apr-2026,40203260,124591
Apr-2026,40206250,124560
Apr-2026,40215862,122621
Apr-2026,40204055,119842
Apr-2026,40195195,119466
Apr-2026,40204603,118782
Apr-2026,40206792,118344
Apr-2026,40219918,117796
Apr-2026,40217588,117675
Apr-2026,40194906,117480
Apr-2026,40211453,116344
Apr-2026,40190930,114512
Apr-2026,40194157,114014
Apr-2026,40192133,113727
Apr-2026,40207867,113397
Apr-2026,40210908,113342
Apr-2026,40213958,111322
Apr-2026,40193422,111208
Apr-2026,40214777,110827
Apr-2026,40215740,110451
Apr-2026,40208593,110402
Apr-2026,40211407,109752
Apr-2026,40205184,108892
Apr-2026,40217712,107211
Apr-2026,40211536,106413
Apr-2026,40194064,105802
Apr-2026,40207766,104951
Apr-2026,40197607,104721
Apr-2026,40213862,102996
Apr-2026,40196950,102553
Apr-2026,40215208,99780
Apr-2026,40215202,98876
Apr-2026,40199188,98623
Apr-2026,40190408,98147
Apr-2026,40192744,96975
Apr-2026,40200797,96281
Apr-2026,40203462,95879
Apr-2026,40194047,95660
Apr-2026,40203463,94492
Apr-2026,40196966,94117
Apr-2026,40198763,92850
Apr-2026,40219548,92588
Apr-2026,40220197,91125
Apr-2026,40197392,91034
Apr-2026,40213770,89962
Apr-2026,40205604,89440
Apr-2026,40208594,88751
Apr-2026,40216615,88659
Apr-2026,40205375,88443
Apr-2026,40213986,87384
Apr-2026,40221518,87372
Apr-2026,40217732,86775
Apr-2026,40214121,86741
Apr-2026,40209282,85869
Apr-2026,40206627,85799
Apr-2026,40199585,85794
Apr-2026,40211218,85556
Apr-2026,40193441,85091
Apr-2026,40195637,84912
Apr-2026,40196898,84588
Apr-2026,40215993,83734
Apr-2026,40202984,82240
Apr-2026,40209410,80556
Apr-2026,40206038,78971
Apr-2026,40213301,78908
Apr-2026,40220305,78089
Apr-2026,40220126,77193
Apr-2026,40196635,77000
Apr-2026,40196112,76950
Apr-2026,40193278,76710
Apr-2026,40192165,75928
Apr-2026,40214870,75678
Apr-2026,40214231,75279
Apr-2026,40198888,75195
Apr-2026,40214800,74306
Apr-2026,40207826,73971
Apr-2026,40195391,73339
Apr-2026,40211638,73179
Apr-2026,40209674,73137
Apr-2026,40191527,73013
Apr-2026,40190681,72789
Apr-2026,40196934,72747
Apr-2026,40217582,72737
Apr-2026,40215835,72317
Apr-2026,40210919,72206
Apr-2026,40217195,71175
Apr-2026,40200884,70582
Apr-2026,40207391,70435
Apr-2026,40201338,69845
Apr-2026,40205812,69577
Apr-2026,40194762,69416
Apr-2026,40192314,69407
Apr-2026,40200534,69316
Apr-2026,40203613,69155
Apr-2026,40218109,68980
Apr-2026,40207244,68871
Apr-2026,40218325,68792
Apr-2026,40196518,68215
Apr-2026,40218580,67945
Apr-2026,40200433,67693
Apr-2026,40201654,67519
Apr-2026,40202249,67449
Apr-2026,40191181,67309
Apr-2026,40198927,67160
Apr-2026,40206400,66621
Apr-2026,40201490,66212
Apr-2026,40202428,65808
Apr-2026,40195628,65634
Apr-2026,40209228,65383
Apr-2026,40208627,64843
Apr-2026,40199996,64278
Apr-2026,40219910,63932
Apr-2026,40216564,63780
Apr-2026,40205238,63744
Apr-2026,40199333,63426
Apr-2026,40196656,63343
Apr-2026,40214782,63343
Apr-2026,40201655,63342
Apr-2026,40200206,63259
Apr-2026,40203360,63093
Apr-2026,40211114,62773
Apr-2026,40198021,62757
Apr-2026,40203042,62743
Apr-2026,40220185,62723
Apr-2026,40192239,62332
Apr-2026,40213104,62036
Apr-2026,40194106,61749
Apr-2026,40202410,61706
Apr-2026,40206734,61157
Apr-2026,40198438,61069
Apr-2026,40195190,61054
Apr-2026,40220177,60624
Apr-2026,40220233,60471
Apr-2026,40197596,60382
Apr-2026,40205985,60213
Apr-2026,40207168,60000
Apr-2026,40210679,59923
Apr-2026,40208868,59918
Apr-2026,40211073,59810
Apr-2026,40193650,59428
Apr-2026,40204584,59286
Apr-2026,40208434,58912
Apr-2026,40207091,58632
Apr-2026,40214608,58570
Apr-2026,40210962,58129
Apr-2026,40193807,58113
Apr-2026,40221909,58010
Apr-2026,40218802,57901
Apr-2026,40198447,57896
Apr-2026,40193718,57859
Apr-2026,40193129,57851
Apr-2026,40196672,57742
Apr-2026,30000440,57735
Apr-2026,40218382,57570
Apr-2026,40197352,57560
Apr-2026,40222343,57519
Apr-2026,40200882,57402
Apr-2026,40201552,57233
Apr-2026,40200814,57189
Apr-2026,40202527,57121
Apr-2026,40211933,57070
Apr-2026,40196982,57069
Apr-2026,40219202,56828
Apr-2026,40217546,56733
Apr-2026,40189285,56479
Apr-2026,40204687,56423
Apr-2026,40193759,56197
Apr-2026,40216756,55968
Apr-2026,40195624,55963
Apr-2026,40197860,55944
Apr-2026,40196706,55586
Apr-2026,40205277,55291
Apr-2026,40206241,55214
Apr-2026,40199603,55149
Apr-2026,40210641,55137
Apr-2026,40221676,55025
Apr-2026,40200556,54615
Apr-2026,40202951,54564
Apr-2026,40205515,54400
Apr-2026,40221583,54341
Apr-2026,40223560,54267
Apr-2026,40197758,54128
Apr-2026,40203252,53994
Apr-2026,40194465,53522
Apr-2026,40215447,53483
Apr-2026,40200604,53395
Apr-2026,40195366,53260
Apr-2026,40196590,53189
Apr-2026,40206445,53151
Apr-2026,40190757,52931
Apr-2026,40219373,52916
Apr-2026,40221517,52908
Apr-2026,40193602,52880
Apr-2026,40207144,52823
Apr-2026,40193699,52770
Apr-2026,40204779,52767
Apr-2026,40211449,52337
Apr-2026,40222823,52298
Apr-2026,30000460,52285
Apr-2026,40221642,52049
Apr-2026,40198190,51593
Apr-2026,40215028,51391
Apr-2026,40197815,51077
Apr-2026,40196958,50980
Apr-2026,40222794,50847
Apr-2026,40216939,50726
Apr-2026,40214014,50696
Apr-2026,40205689,50584
Apr-2026,30000450,50553
Apr-2026,40217523,50407
Apr-2026,40211828,50270
Apr-2026,40223515,50117
Apr-2026,40209311,49580
Apr-2026,40221813,49541
Apr-2026,40216631,49451
Apr-2026,40202135,49401
Apr-2026,40199277,49337
Apr-2026,40210879,49319
Apr-2026,30000412,49270
Apr-2026,40208130,49266
Apr-2026,40213046,49240
Apr-2026,40197602,49230
Apr-2026,40218094,49010
Apr-2026,40207162,48999
Apr-2026,40201249,48909
Apr-2026,40202968,48697
Apr-2026,40222740,48695
Apr-2026,40207059,48677
Apr-2026,40208471,48641
Apr-2026,40199030,48455
Apr-2026,40195560,48432
Apr-2026,40212157,48373
Apr-2026,40205900,48305
Apr-2026,40197254,48226
Apr-2026,40218916,48201
Apr-2026,40202009,48195
Apr-2026,40201423,48174
Apr-2026,40196046,47937
Apr-2026,40220624,47800
Apr-2026,40197883,47506
Apr-2026,40221018,47398
Apr-2026,40195526,47376
Apr-2026,40206824,47011
Apr-2026,40200630,46954
Apr-2026,40198705,46705
Apr-2026,40196349,46693
Apr-2026,40198110,46660
Apr-2026,40202890,46648
Apr-2026,40204504,46635
Apr-2026,40205728,46579
Apr-2026,40200892,46483
Apr-2026,40192941,46351
Apr-2026,40206184,46338
Apr-2026,40215353,46191
Apr-2026,40200165,46154
Apr-2026,40219537,46043
Apr-2026,40196785,45930
Apr-2026,40217413,45904
Apr-2026,40213913,45833
Apr-2026,40211944,45813
Apr-2026,40191069,45794
Apr-2026,40209652,45699
Apr-2026,40211301,45563
Apr-2026,40220849,45541
Apr-2026,40208552,45450
Apr-2026,40194683,45432
Apr-2026,40193053,45355
Apr-2026,40213420,45334
Apr-2026,40215426,45222
Apr-2026,40205983,44995
Apr-2026,40194333,44915
Apr-2026,40215102,44640
Apr-2026,40206475,44606
Apr-2026,40196803,44515
Apr-2026,40203222,44512
Apr-2026,40195763,44435
Apr-2026,40190710,44261
Apr-2026,40194904,44253
Apr-2026,40208675,44243
Apr-2026,40191470,44228
Apr-2026,40220598,44177
Apr-2026,40196078,44137
Apr-2026,40199316,43972
Apr-2026,40215154,43949
Apr-2026,40209983,43889
Apr-2026,40203981,43764
Apr-2026,40203469,43725
Apr-2026,40214184,43604
Apr-2026,40194864,43498
Apr-2026,40216621,43453
Apr-2026,40194474,43410
Apr-2026,40212899,43386
Apr-2026,40191596,43383
Apr-2026,40217399,43358
Apr-2026,40222253,43261
Apr-2026,40204376,43181
Apr-2026,40206530,43175
Apr-2026,40216518,43103
Apr-2026,40205196,42927
Apr-2026,40216038,42907
Apr-2026,40207799,42870
Apr-2026,40206540,42796
Apr-2026,40211717,42577
Apr-2026,40204598,42345
Apr-2026,40214077,42314
Apr-2026,40214483,42275
Apr-2026,40211432,42272
