Month,story_id,Region,Event count
Apr-2026,40202410,Delhi Division,34683
Apr-2026,40213429,Delhi Division,34649
Apr-2026,40195084,Uttar Pradesh,34577
Apr-2026,40193650,Uttar Pradesh,34492
Apr-2026,40197689,Uttar Pradesh,34445
Apr-2026,40203799,Madhya Pradesh,34421
Apr-2026,40207548,Uttar Pradesh,34373
Apr-2026,40194106,Uttar Pradesh,34301
Apr-2026,40199121,Uttar Pradesh,34172
Apr-2026,40191050,Bihar,34135
Apr-2026,40210995,Delhi Division,34075
Apr-2026,40190757,Uttar Pradesh,34029
Apr-2026,40196672,Uttar Pradesh,33981
Apr-2026,40194675,Uttar Pradesh,33968
Apr-2026,40204005,Rajasthan,33910
Apr-2026,40192305,Uttar Pradesh,33803
Apr-2026,40219729,Uttar Pradesh,33754
Apr-2026,40211453,Delhi Division,33683
Apr-2026,40207149,Madhya Pradesh,33539
Apr-2026,40222876,Uttar Pradesh,33409
Apr-2026,40202890,Haryana,33408
Apr-2026,40220137,Uttar Pradesh,33396
Apr-2026,40200149,Bihar,33241
Apr-2026,40212984,Maharashtra,33159
Apr-2026,40201433,Uttar Pradesh,33040
Apr-2026,40193129,Uttar Pradesh,33015
Apr-2026,40215028,Uttar Pradesh,32933
Apr-2026,40211453,Uttar Pradesh,32896
Apr-2026,40218565,Uttar Pradesh,32873
Apr-2026,40211170,Uttar Pradesh,32706
Apr-2026,40191298,Haryana,32372
Apr-2026,40200797,Haryana,32277
Apr-2026,40195933,Uttar Pradesh,32242
Apr-2026,40222740,Haryana,32181
Apr-2026,40216320,Maharashtra,32134
Apr-2026,40199959,Uttar Pradesh,31919
Apr-2026,40190518,Uttar Pradesh,31907
Apr-2026,40200944,Uttar Pradesh,31694
Apr-2026,40220185,Delhi Division,31574
Apr-2026,40210554,Uttar Pradesh,31471
Apr-2026,40208796,Uttar Pradesh,31466
Apr-2026,40218671,Uttar Pradesh,31397
Apr-2026,40215278,Delhi Division,31336
Apr-2026,40212488,Uttar Pradesh,31293
Apr-2026,40215519,Bihar,31288
Apr-2026,40216084,Maharashtra,31263
Apr-2026,40189611,Uttar Pradesh,31085
Apr-2026,40194864,Uttar Pradesh,31075
Apr-2026,40213429,Bihar,31026
Apr-2026,40209282,Bihar,30882
Apr-2026,40205985,Uttar Pradesh,30858
Apr-2026,40205679,Uttar Pradesh,30848
Apr-2026,40193770,Uttar Pradesh,30835
Apr-2026,40216084,Uttar Pradesh,30765
Apr-2026,40218920,Uttar Pradesh,30348
Apr-2026,40210995,Bihar,30311
Apr-2026,40203047,Bihar,30275
Apr-2026,40197393,Uttar Pradesh,30229
Apr-2026,40217699,Uttar Pradesh,30120
Apr-2026,40218409,Gujarat,30049
Apr-2026,40195465,Bihar,29977
Apr-2026,40191596,Delhi Division,29966
Apr-2026,40214080,Uttar Pradesh,29964
Apr-2026,40194503,Delhi Division,29823
Apr-2026,40212984,Uttar Pradesh,29823
Apr-2026,40189158,Uttar Pradesh,29738
Apr-2026,40198457,Delhi Division,29632
Apr-2026,40194489,Uttar Pradesh,29590
Apr-2026,40195140,Bihar,29548
Apr-2026,40222048,Maharashtra,29454
Apr-2026,40200502,Madhya Pradesh,29287
Apr-2026,40196046,Haryana,29286
Apr-2026,40215862,Uttar Pradesh,29219
Apr-2026,40194503,Madhya Pradesh,29191
Apr-2026,40194580,Uttar Pradesh,29167
Apr-2026,40202988,Uttar Pradesh,29156
Apr-2026,40209701,Madhya Pradesh,29061
Apr-2026,40202391,Rajasthan,28882
Apr-2026,40212790,Uttar Pradesh,28857
Apr-2026,40203997,Uttar Pradesh,28738
Apr-2026,40204578,Uttar Pradesh,28608
Apr-2026,30000432,Uttar Pradesh,28607
Apr-2026,40209410,Uttar Pradesh,28594
Apr-2026,40216320,Delhi Division,28525
Apr-2026,40203205,Bihar,28511
Apr-2026,40207845,Delhi Division,28333
Apr-2026,40217359,Delhi Division,28333
Apr-2026,40199166,Uttar Pradesh,28298
Apr-2026,40215501,Uttar Pradesh,28289
Apr-2026,40204428,Haryana,28285
Apr-2026,40202391,Delhi Division,28262
Apr-2026,40216783,Uttar Pradesh,28131
Apr-2026,40211432,Uttar Pradesh,28047
Apr-2026,40199641,Uttar Pradesh,27975
Apr-2026,40190930,Uttar Pradesh,27963
Apr-2026,40217858,Haryana,27904
Apr-2026,40215278,Maharashtra,27903
Apr-2026,40200502,Bihar,27892
Apr-2026,40204055,Uttar Pradesh,27892
Apr-2026,40206734,Delhi Division,27821
Apr-2026,40204584,Bihar,27726
Apr-2026,40193807,Punjab,27666
